"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"107",89927,1,63,"['ART']","This course serves as an introductory survey of the diverse arts and cultures of sub-Saharan Africa. Students investigate material culture in its original context to understand the social roles that art plays in many aspects of life. Students also learn to identify and discuss styles, materials, techniques, and the roles of artists. Special topics considered may include: contemporary versus historical art in Africa, notions of ""authenticity"" and tourist art, cultural heritage and repatriation of art works, and the politics and history of museum display. Offered periodically. Counts towards Africa & the Americas concentration.","['ALS-A', 'MCG', 'WRI']",NA,"",NA,"['Christopher Tradowsky']",200,"['DC 204']","African Art History","",269,"False","False","",3,"C",20133,"['MWF 0200-0255PM']","","Research",2013,19
"125",89957,1,18781,"['ASIAN']","In this final semester in Asian Conversations students examine modern reinterpretations of traditional Asia focusing on major social and cultural aspects of the 19th through 21st centuries. Students engage with primary and secondary texts through written and oral presentation, including materials collected during Interim. Prerequisite: Chinese 231 or Japanese 231 and Asian Studies 215 or 216. Offered annually in the spring semester.","['ALS-A', 'ALS-L', 'HBS', 'MCG', 'ORC', 'WRI']",NA,"",NA,"['Katherine S. Tegtmeyer Pak', 'Ka F. Wong']",200,"['HH 317', 'HH 317']","AsiaCon3:InterpretJourney","Registration restricted to students in the Asian Con program.",220,"False","Prerequisite: Chinese 231 or Japanese 231 and Asian Studies 215 or 216. Offered annually in the spring semester.","",3,"C",20133,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations III: Interpreting Journeys","Research",2013,34
"216",90095,1,406,"['ENGL']","Students read and discuss children's literature from a variety of cultures and time periods. Beginning with world folklore and children's classics as background, students explore an array of picture books, poetry, fiction, and nonfiction that exemplifies the best in fantasy, science fiction, and realism for children and young adults. Special emphasis is given to two relatively new subgenres: multicultural literature and the contemporary problem novel. Prerequisite: FYW. Counts toward women's and gender studies major and concentration.","['ALS-L']",NA,"",NA,"['Mary Titus']",200,"['RML 525']","Children's Literature","",242,"False","Prerequisite: FYW. Counts toward women's and gender studies major and concentration.","",3,"C",20133,"['MWF 0200-0255PM']","Children's and Young Adult Literature","Research",2013,29
"219",90105,1,569,"['HIST']","Students examine the overthrow of American segregation through several decades of agitation for civil rights. This seminar focuses primarily on the South, though students also discuss northern race relations. Primary accounts from the era constitute the assigned readings. Among the topics covered are the segregated South, Martin Luther King and his critics, the Black Power movement, and the rise of white backlash politics. Offered periodically. Counts towards race and ethnic studies and American studies majors and race and ethnic studies and Africa and the Americas concentrations.","['HWC', 'MCD']",NA,"",NA,"['Michael Fitzgerald']",100,"['HH 514']","Civil Rights Revolution","Open to first-year students only.",181,"False","False","",3,"C",20133,"['MWF 1255-0150PM']","","Research",2013,17
"220",90106,1,621,"['HIST']","In studying the impact of the Civil War era on American society and politics, students focus on slavery, emancipation, and race relations. They also address the impact of industrialization on northern society, encompassing immigration and nativism, the westward movement, and the dispossession of Native Americans. The course situates the dramatic political and military events of the era in the wider evolution of American life. Offered most years. Counts toward American studies and race and ethnic studies majors and race and ethnic studies and Africa and the Americas concentrations.","['HWC', 'MCD']",NA,"",NA,"['Michael Fitzgerald']",200,"['OM 030']","Civil War/Reconstruct","",288,"False","False","",3,"C",20133,"['MWF 1045-1140']","America in the Civil War and Reconstruction Era","Research",2013,29
"237",90138,1,371,"['DANCE']","Students trace and integrate the African-American and Euro-American dance traditions of the late 19th, 20th and early 21st centuries, paying attention to their similarities and differences. The focus is on the theatrical dance genres of ballet, modern, and jazz (includes social dance, tap, and some musical theatre dance). At the same time, the course attends to the economic, religious, political, and social forces that have affected the development of dance in the United States. No dance experience required. Ticket/transportation fee required. Offered annually in the spring semester. Counts towards race and ethnic studies, American studies, and women's and gender studies majors and race and ethnic studies and women's and gender studies concentrations. No dance experience required.","['ALS-A', 'MCD', 'WRI']",NA,"",NA,"['Heather J. Klopchin']",200,"['DC 305']","Dance in United States","",246,"False","False","",3,"C",20133,"['MWF 1255-0150PM']","Dance in the United States","Research",2013,25
"238",90139,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Prerequisite: American Conversations 101. Offered annually in the spring semester. Counts towards American studies major.","['FYW', 'HWC']",NA,"",NA,"['Mark Allister']",100,"['HH 317']","Dem Vistas: 1800-1900","Open to American Conversations students only.",102,"False","Prerequisite: American Conversations 101. Offered annually in the spring semester. Counts towards American studies major.","A",3,"C",20133,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2013,19
"239",90140,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Prerequisite: American Conversations 101. Offered annually in the spring semester. Counts towards American studies major.","['FYW', 'HWC']",NA,"",NA,"['Eric J. Fure-Slocum']",100,"['HH 319']","Dem Vistas: 1800-1900","Open to American Conversations students only.",102,"False","Prerequisite: American Conversations 101. Offered annually in the spring semester. Counts towards American studies major.","B",3,"C",20133,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2013,21
"269",90184,1,574,"['HIST']","This course surveys European history and culture since the Reformation. Topics include the impact of Protestantism, the development of nation-states, the Enlightenment, revolutionary ideas and experiences, the Napoleonic era, imperialism, mass political movements, and global warfare. Through original texts, historical studies, and literature, students explore relations among religions, states and societies and understandings of liberty and reason, natural environments, family life, and gender roles. Offered most years. Counts toward women's and gender studies major and concentration","['HWC']",NA,"",NA,"['Edward N. Snyder']",100,"['HH 501']","Eur/Reform/Modern","",191,"False","False","",3,"C",20133,"['MWF 1150-1245PM']","Europe from the Reformation to Modern Times","Research",2013,29
"302",90257,1,576,"['HIST']","This course takes a comparative and chronological approach to studying the diverse cultures of the modern world. Through original texts, historical studies, and literary sources, students examine such themes as the rise of American imperialism and its impact on indigenous peoples of the Americas, Asia, and Africa; the emergence of the nation-state and new ideologies; the spread of American influence in the world; human interaction with the environment; challenges to religion and traditional life-styles; and innovation in family and gender structures. Offered most years.","['MCG']",NA,"",NA,"['Abdulai Iddrisu']",100,"['HH 501']","Global 1500-Present","",195,"False","False","",3,"C",20133,"['MWF 1045-1140']","Global Histories from 1500 to the Present","Research",2013,34
