"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"100",100754,1,18780,"['ASIAN']","Students pursue guided fieldwork experience in the country whose language they study, either Japan or China. Activities and readings in this course build on the topics from ASIAN 210 and three semesters of language study. Students continue to explore their understanding of Asia through ethnographic observation, interviews, and site visits. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian""culture and society today. Offered during Interim. Prerequisite: ASIAN210.","",NA,"","['Caleb Boteilho', 'Barbara Reed']",200,"","AsianCon2: Encounter Asia","Registration restricted to students in the Asian Con program. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",215,"False","Prerequisite: ASIAN210.","",2,"C",20152,"","Asian Conversations II: Encountering Asia","Research",2015,38
"101",100755,1,19742,"['ASIAN']","Students pursue guided fieldwork experience in the United States. Activities and readings in this course build on the topics from ASIAN 210 and three semesters of language study. Students reflect on the experience of Asians in America through readings, site visits, and local interviews. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Offered during Interim. Prerequisite: ASIAN 210.","",NA,"","['Staff']",200,"","AsianCon2:Asia in America","",216,"False","Prerequisite: ASIAN 210.","",2,"C",20152,"","Asian Conversations II: Encountering Asia in America","Research",2015,0
"120",100841,1,1329,"['SPAN']","Students explore geographic, economic, political, and ethnic dimensions of life in Costa Rica by combining intensive course work with such cross-cultural experiences as a homestay in San Jose, field work, visits to sites of cultural interest, and excursions to the Atlantic and Pacific coasts. They consolidate their language skills and continue to develop their skills for analyzing and communicating in Spanish through compositions, oral presentations, and interviews of Costa Ricans. Prerequisite: SPAN 231 or placement. Not open to students who have completed SPAN 232.","['FOL-S', 'MCG']",NA,"","['Gwendolyn Barnes-Karol']",200,"","Inter Span II-C Rica","Open to all students who meet the prerequisites. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",234,"False","Prerequisite: SPAN 231 or placement. Not open to students who have completed SPAN 232.","",2,"C",20152,"","Intermediate Spanish II in Costa Rica","Research",2015,16
"123",100844,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Offered each semester and during Interim. Prerequisite: SPAN 112 or placement.","",NA,"","['Leon Narvaez']",200,"['TOH 312', 'TOH 312']","Intermed Spanish I","Open to all students who meet the prerequisites. Prerequisite: completion of Spanish placement test or preceding course.",231,"False","Prerequisite: SPAN 112 or placement.","",2,"C",20152,"['M-F 0100-0300PM', 'M-F 0900-1000']","Intermediate Spanish I","Research",2015,17
"239",101049,1,24283,"['PSCI']","This class aims to better understand the racial climate in the United States, and the implications for American politics. Differing analytical perspectives from political science are used to interpret the role of race. A central question is the degree to which ""post-racial"" is an appropriate description of the current era. Counts toward race and ethnic studies and American studies majors and race and ethnic studies concentration.","['HBS', 'MCD']",NA,"","['Joshua Anderson']",200,"['TOH 314']","Race and Politics","Open to first-year students. This course has class year limits.",244,"False","False","",2,"C",20152,"['M-F 1040-1240PM']","Race and American Politics","Research",2015,26
"241",101055,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Offered during Interim. Counts toward ancient studies major. Prerequisite: GCON 113.","['BTS-B', 'WRI']",NA,"","['Edward Langerak']",100,"['RML 420']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: GCON 113.","A",2,"C",20152,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2015,19
"242",101056,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Offered during Interim. Counts toward ancient studies major. Prerequisite: GCON 113.","['BTS-B', 'WRI']",NA,"","['Jeanine Grenberg']",100,"['RML 421']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: GCON 113.","B",2,"C",20152,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2015,20
"243",101057,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Offered during Interim. Counts toward ancient studies major. Prerequisite: GCON 113.","['BTS-B', 'WRI']",NA,"","['Bjorn Nordfjord']",100,"['RML 525']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: GCON 113.","C",2,"C",20152,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2015,19
"244",101058,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Offered during Interim. Counts toward ancient studies major. Prerequisite: GCON 113.","['BTS-B', 'WRI']",NA,"","['Douglas J. Casson']",100,"['OM 210']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: GCON 113.","D",2,"C",20152,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2015,22
"245",101059,1,532,"['GCON']","Students explore the Greek and Hebrew legacies in Roman society and in the New Testament, discussing various attempts to find personal fulfillment in political life, in stoicism and Epicureanism, and in the teachings of Christ and St. Paul. Students read works by Cicero, Horace, Virgil, Epictetus, the writers of Christian scripture and study the artistry of Roman portraiture. Offered during Interim. Counts toward ancient studies major. Prerequisite: GCON 113.","['BTS-B', 'WRI']",NA,"","['Anne Groton']",100,"['OM 110']","Romans & Christians","Open to Great Conversations students only.",115,"False","Prerequisite: GCON 113.","E",2,"C",20152,"['M-F 1040-1240PM']","The Tradition Continuing: The Romans and the Christians","Research",2015,18
